Index,Resume,Job_Title,Company_Location,Position,Last_Updated,Resume_URL
dataanalyst-1-1,1,Data Analyst,"Wright State University | Fairborn, Ohio",Data Analyst @ Wright State University,"Last Updated On March 21, 2023",https://www.livecareer.com/resume-search/r/data-analyst-3df5d88c0d384967b962b1a69d52a17a
dataanalyst-1-2,2,Data Analyst,"Technica | Madison, Alabama",Data Analyst @ Technica,"Last Updated On September 26, 2022",https://www.livecareer.com/resume-search/r/data-analyst-3d312c98b0bb4e3b84c4a8a87e9ce009
dataanalyst-1-3,3,Data Analyst,"Green By Nature EPR | Bothell, Washington",Data Analyst @ Green By Nature EPR,"Last Updated On December 8, 2020",https://www.livecareer.com/resume-search/r/data-analyst-34d21cf5a89c41aca573d20d970c026b
dataanalyst-1-4,4,Data Analyst,"Microsoft | Richardson, Texas",Data Analyst @ Microsoft,"Last Updated On May 19, 2021",https://www.livecareer.com/resume-search/r/data-analyst-3c0de762368c4776b91ad31945dcc7a0
dataanalyst-1-5,5,Data Analyst,"Energyly | Madison, South Dakota",Data Analyst @ Energyly,"Last Updated On March 1, 2017",https://www.livecareer.com/resume-search/r/data-analyst-319444176bf24db9b1334504a6d94c92
dataanalyst-1-6,6,Data Analyst,"Daniel O’Connell Son’S | Miami, Florida",Data Analyst @ Daniel O’Connell Son’S,"Last Updated On January 16, 2021",https://www.livecareer.com/resume-search/r/data-analyst-3160ada6e0c044e7a413d4087ce1f6be
dataanalyst-1-7,7,Data Analyst,"Independently Employed | Watertown, Massachusetts",Data Analyst @ Independently Employed,"Last Updated On September 2, 2021",https://www.livecareer.com/resume-search/r/data-analyst-2f1cd917ad5240ceba7429b1fbb5dadd
dataanalyst-1-8,8,Data Analyst,"Targeted Technology | Null, Maryland",Data Analyst @ Targeted Technology,"Last Updated On September 21, 2022",https://www.livecareer.com/resume-search/r/data-analyst-2ab42e22b6924de4b754c6d8a0daa29d
dataanalyst-1-9,9,Data Analyst,"NA | Champaign, Illinois",Data Analyst @ NA,"Last Updated On April 5, 2018",https://www.livecareer.com/resume-search/r/data-analyst-2d0c01d4f49448da8b2b9cb8af8481f4
dataanalyst-1-10,10,Data Analyst,"ATLANTA PUBLIC SCHOOLS | Jonesboro, Georgia",Data Analyst @ ATLANTA PUBLIC SCHOOLS,"Last Updated On May 5, 2017",https://www.livecareer.com/resume-search/r/data-analyst-1edf3bdef6744bc69520a01d3285bbf8